mot-clé_(mc),url,trafic,position,volumeh,volume_ads,allintitle,cpc,comp.,kgr,kvi,maj_serp,si_informational,si_navigational,si_transactional,si_commercial,si_local,si_brand,sugg._ortho.,sugg._ortho._avec_redir.
"location nacelle valenciennes","https://www.batamat.com/Batamat/detail_produit/112","1","29","20","20","","1.56","0.46","","17","2026-07-26","true","false","false","false","true","false","",""
"beton frappe merville","https://www.batamat.com/Batamat/detail_produit/161","1","29","20","20","","","0.0095","","7","OLDER_THAN_2_MONTHS","","","","","","","",""
"nacelle à bras articulé","https://www.batamat.com/Batamat/detail_produit/114","1","45","170","170","","1.26","0.12","","23","2026-06-04","true","false","false","false","false","false","",""
"mini pelle volvo 2.5 t","https://www.batamat.com/Batamat/sub_categorie/22","1","31","50","50","","0.3658","0.5897","","5","OLDER_THAN_2_MONTHS","","","","","","","",""
"location brise roche","https://www.batamat.com/Batamat/detail_produit/88","1","39","70","70","","0.96","0.36","","26","OLDER_THAN_2_MONTHS","","","","","","","",""
"bomag bw120","https://www.batamat.com/Batamat/detail_produit/91","1","40","70","70","","","0.03","","14","OLDER_THAN_2_MONTHS","","","","","","","",""
"pieds de mouton prix au kilo","https://www.batamat.com/Batamat/detail_produit/96","1","33","50","50","","","0","","20","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"bomag bw 100","https://www.batamat.com/Batamat/detail_produit/90","1","33","50","50","","","0.0073","","7","OLDER_THAN_2_MONTHS","","","","","","","",""
"mini pelle 2.5 t","https://www.batamat.com/Batamat/sub_categorie/22","1","53","320","320","","0.87","0.93","","20","OLDER_THAN_2_MONTHS","","","","","","","",""
"location plaque de répartition de charge","https://www.batamat.com/Batamat/detail_produit/179","1","21","10","10","2","1.8312","0.3651","0.2","1","2026-07-25","true","false","false","false","false","false","",""
"lille bethune distance","https://www.batamat.com/Batamat/detail_produit/165","1","48","140","140","","","0","","47","OLDER_THAN_2_MONTHS","true","false","false","false","true","false","",""
"nacelle 6m","https://www.batamat.com/Batamat/detail_produit/61","1","35","50","50","","1.28","1","","32","OLDER_THAN_2_MONTHS","","","","","","","",""
"mini pelle 3.5 t","https://www.batamat.com/Batamat/sub_categorie/22","1","48","140","140","","1","0.85","","17","OLDER_THAN_2_MONTHS","","","","","","","",""
"micro pelle bach alu","https://www.batamat.com/Batamat/sub_categorie/22","1","22","10","10","","0.3554","0.14","","16","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"pelle sur pneu occasion","https://www.batamat.com/Batamat/sub_categorie/26","1","43","110","110","10","0.64","0.65","0.0909","21","2026-06-09","false","false","true","false","false","false","",""
"plaque roulage","https://www.batamat.com/Batamat/detail_produit/179","1","43","110","110","","2.97","1","","36","OLDER_THAN_2_MONTHS","","","","","","","",""
"pied de mouton btp","https://www.batamat.com/Batamat/detail_produit/94","1","38","50","50","","","0.21","","20","OLDER_THAN_2_MONTHS","true","false","true","false","false","false","",""
"pilonneuse électrique","https://www.batamat.com/Batamat/detail_produit/188","1","38","50","50","","","0.99","","28","OLDER_THAN_2_MONTHS","","","","","","","",""
"dumper 3t","https://www.batamat.com/Batamat/detail_produit/54","1","45","110","110","","1.44","0.46","","12","2026-06-11","","","","","","","",""
"location mini pelle avec brise roche","https://www.batamat.com/Batamat/detail_produit/88","1","24","10","10","","2.1283","0.11","","21","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"prix location mini chargeur","https://www.batamat.com/Batamat/detail_produit/131","1","24","10","10","","","0.09","","33","OLDER_THAN_2_MONTHS","","","","","","","",""
"nacelle à louer pas cher","https://www.batamat.com/Batamat/detail_produit/102","1","24","10","10","","0.9","0.36","","30","OLDER_THAN_2_MONTHS","","","","","","","",""
"rouleau pied de mouton","https://www.batamat.com/Batamat/detail_produit/94","1","46","110","110","","","0.32","","19","2026-06-13","true","false","false","false","false","false","",""
"location mini pelle 81","https://www.batamat.com/Batamat/detail_produit/81","1","25","10","10","","","0","","15","OLDER_THAN_2_MONTHS","false","false","false","false","true","false","",""
"location pelle avec brh","https://www.batamat.com/Batamat/detail_produit/88","1","25","10","10","","","0.23","","21","OLDER_THAN_2_MONTHS","","","","","","","",""
"location benne trith saint leger","https://www.batamat.com/","1","25","10","10","","","","","1","OLDER_THAN_2_MONTHS","false","false","true","true","true","false","",""
"nacelle 22m","https://www.batamat.com/Batamat/detail_produit/116","1","34","40","40","","0.8","0.07","","20","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"marteau piqueur pelleteuse","https://www.batamat.com/Batamat/detail_actu/28","1","42","90","90","","1.09","1","","25","2026-06-23","","","","","","","",""
"location mini pelle 2.5t","https://www.batamat.com/Batamat/detail_produit/56","1","38","45","50","","1.18","0.32","","20","OLDER_THAN_2_MONTHS","","","","","","","",""
"nacelle ciseau 15m","https://www.batamat.com/Batamat/detail_produit/122","1","38","45","50","","0.49","0.83","","30","OLDER_THAN_2_MONTHS","","","","","","","",""
"moteur bétonnière thermique","https://www.batamat.com/Batamat/detail_produit/219","1","32","32","390","","0.24","1","","27","2026-05-29","true","false","true","false","false","false","",""
"location nacelle tractable prix","https://www.batamat.com/Batamat/detail_produit/61","1","37","40","40","","1.21","0.26","","21","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"chariot telescopique 17m","https://www.batamat.com/Batamat/detail_produit/108","1","27","10","10","","1.5034","0.381","","17","OLDER_THAN_2_MONTHS","","","","","","","",""
"nacelle bras","https://www.batamat.com/Batamat/detail_produit/116","1","45","90","90","","4.19","0.42","","17","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"brh prix","https://www.batamat.com/Batamat/detail_produit/87","1","38","40","40","","0.5898","0.4679","","31","OLDER_THAN_2_MONTHS","","","","","","","",""
"compacteur pied de mouton fiche technique","https://www.batamat.com/Batamat/detail_produit/94","1","31","30","30","","","0.0457","","5","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"prix micro pelle","https://www.batamat.com/Batamat/sub_categorie/22","1","45","90","90","","0.83","0.99","","33","OLDER_THAN_2_MONTHS","","","","","","","",""
"tarif location mini pelle 1.5 t","https://www.batamat.com/Batamat/detail_produit/57","1","28","10","10","","1.0658","0.1429","","17","OLDER_THAN_2_MONTHS","","","","","","","",""
"nacelle ciseau diesel","https://www.batamat.com/Batamat/detail_produit/121","1","39","40","40","","0.818","0.8268","","27","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"golz kb350","https://www.batamat.com/Batamat/detail_produit/208","1","39","40","40","","0.25","0.49","","11","OLDER_THAN_2_MONTHS","","","","","","","",""
"atlas copco lille","https://www.batamat.com/Batamat/detail_produit/160","1","46","90","90","","","0.03","","36","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"les marteaux piqueurs","https://www.batamat.com/Batamat/detail_actu/28","1","25","8","140","","0.29","0.51","","27","2026-06-04","true","false","false","false","false","false","les marteaux pikeurs",""
"bruit de marteau piqueur","https://www.batamat.com/Batamat/detail_actu/28","1","47","90","90","","","0","","24","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"nacelle ciseau 16m","https://www.batamat.com/Batamat/detail_produit/124","1","33","30","30","","2.9005","0.8836","","13","OLDER_THAN_2_MONTHS","true","false","true","false","false","false","",""
"grand set outils construction marteau piqueur","https://www.batamat.com/Batamat/detail_actu/28","1","40","40","40","","","1","","35","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location plaque de roulage acier","https://www.batamat.com/Batamat/detail_produit/179","1","30","10","10","","3.4517","0.4857","","18","2026-07-25","false","false","false","false","true","false","",""
"location rouleau duplex","https://www.batamat.com/Batamat/detail_produit/95","1","30","10","10","","0.2143","0.1786","","32","OLDER_THAN_2_MONTHS","","","","","","","",""
"prix location manitou","https://www.batamat.com/Batamat/detail_produit/62","1","41","70","70","","0.58","0.15","","22","OLDER_THAN_2_MONTHS","","","","","","","",""
"tarif location rouleau compacteur","https://www.batamat.com/Batamat/detail_produit/91","1","48","90","90","","0.76","0.09","","25","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"nacelle diesel","https://www.batamat.com/Batamat/sub_categorie/38","1","34","30","30","","0.5983","0.437","","27","OLDER_THAN_2_MONTHS","","","","","","","",""
"location plaque de roulage charge lourde","https://www.batamat.com/Batamat/detail_produit/179","1","35","30","30","","2.7888","0.6214","","15","2026-07-21","","","","","","","",""
"prix location nacelle 20m","https://www.batamat.com/Batamat/detail_produit/115","1","43","70","70","","0.69","0.27","","29","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"diplome caces","https://www.batamat.com/Batamat/detail_actu/19","1","64","436","480","","1.31","0.09","","40","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"mini pelle avec brh","https://www.batamat.com/Batamat/detail_produit/88","1","44","70","70","","1","0.61","","21","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"météo agricole isbergues","https://www.batamat.com/","1","36","29","320","","","0.01","","54","2026-06-07","true","false","false","false","true","false","",""
"pieds de mouton tp","https://www.batamat.com/Batamat/detail_produit/96","1","68","480","480","1","","0.02","0.0021","1","OLDER_THAN_2_MONTHS","true","false","true","false","false","false","",""
"location de materiels btp","https://www.batamat.com/","1","30","8","210","60","1.32","0.17","7.5","29","2026-06-11","false","false","false","false","true","false","",""
"autorisation de conduite et caces","https://www.batamat.com/Batamat/detail_actu/19","1","69","454","590","426","1.31","0.06","0.9383","24","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
