sous-domaine,url,top_3_mcs,trafic,mcs,positionnés,perdus,total_top_3,total_top_10,total_top_50,prem._vue_serp,der._vue_serp
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/categorie/chariot-elevateur-diesel/","","1","11","0","11","0","0","3","2025-07-07","2026-01-05"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/levage-magnetique-grue-600-kg/","","1","3","1","2","0","0","2","2025-07-07","2026-02-05"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/treuil-electrique-pa1200-palan-220-v-telecommande-avec-un-cable-de-15-m/","","1","3","1","2","0","0","2","2025-07-09","2026-03-12"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/palan-a-chaine-3-tonnes/","","1","6","1","5","0","0","3","2025-07-06","2026-01-04"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/transpalette/5-astuces-pour-trouver-un-transpalette-pas-cher","","1","3","0","3","0","0","3","2025-07-02","2025-10-16"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/chariot-elevateur/caces-chariot-elevateur-que-dois-je-savoir/","","1","10","6","4","0","0","2","2025-12-19","2026-01-24"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/acheter-ou-louer-une-nacelle-elevatrice/","","1","21","3","18","0","0","5","2025-07-07","2026-03-19"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/chariot-elevateur/guide-complet-un-chariot-elevateur-diesel/","","1","5","2","3","0","0","3","2025-07-07","2026-01-24"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/chariot-elevateur-a-gaz-7t","","1","5","2","3","0","0","4","2025-07-07","2025-12-21"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/rayonnage/chariot-logistique-ptimiser-ses-flux-facilement/","","1","3","0","3","0","0","1","2025-07-27","2025-10-31"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/table-elevatrice/levage-ponts-roulants-potences/pont-roulant-a-commande-manuelle/","","1","3","3","0","0","0","2","2025-11-30","2025-12-23"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/stockage/","","1","19","0","19","0","0","6","2025-07-07","2025-12-31"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/table-elevatrice/","","1","21","2","19","0","2","7","2025-07-07","2026-01-25"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/treuil-palan-electrique-treuil100-200kg","","1","17","7","10","0","0","5","2025-08-04","2026-02-05"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/grue-de-levage-2t/","","1","1","0","1","0","0","1","2025-07-25","2025-09-04"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/pont-roulant/les-ponts-roulants-et-la-securite-au-travail-pratiques-et-innovations/","","1","2","0","2","0","0","1","2025-10-02","2026-01-12"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/categorie/gerbeur/","","1","1","0","1","0","0","0","2025-07-06","2026-03-22"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/chariot-elevateur/accessoires-pour-chariots-elevateurs","","1","3","0","3","0","0","1","2025-09-25","2025-09-25"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/aimant-de-levage-magnetique-capacite-de-levage-de-1500-kg/","","1","6","1","5","0","0","3","2025-07-16","2026-02-06"
